lineno,char,replacement,regex
1,æ,æ,false
2,ꝗ,ꝗ,false
3,̧,̧,false
4,;,;,false
5,J,J,false
6,ꝑ,ꝑ,false
7,ᶜ,ᶜ,false
8,(,(,false
9,ꝵ,ꝵ,false
10,ᵇ,ᵇ,false
11,ꝭ,ꝭ,false
12,ħ,ħ,false
13,x,x,false
14,ñ,ñ,false
15,ⁱ,ⁱ,false
16,B,B,false
17,i,i,false
18,ᵒ,ᵒ,false
19,9,9,false
20,X,X,false
21,⟧,⟧,false
22,C,C,false
23,R,R,false
24,G,G,false
25,g,g,false
26,ᵉ,ᵉ,false
27,̃,̃,false
28,D,D,false
29,¶,¶,false
30,2,2,false
31,ͩ,ͩ,false
32,),),false
33,ͧ,ͧ,false
34,,,false
35,M,M,false
36,&,&,false
37,ꝰ,ꝰ,false
38,̾,̾,false
39,ƀ,ƀ,false
40,A,A,false
41,ͨ,ͨ,false
42,ᷝ,ᷝ,false
43,ͦ,ͦ,false
44,V,V,false
45,S,S,false
46,+,+,false
47,᷒,᷒,false
48,,,false
49,p,p,false
50,r,r,false
51,I,I,false
52,s,s,false
53,U,U,false
54,ẜ,ẜ,false
55,1,1,false
56,l,l,false
57,y,y,false
58,ͣ,ͣ,false
59,ᵈ,ᵈ,false
60,ᵃ,ᵃ,false
61,m,m,false
62,u,u,false
63,ᵘ,ᵘ,false
64,ꝓ,ꝓ,false
65,.,.,false
66,ᷤ,ᷤ,false
67,N,N,false
68,T,T,false
69,t,t,false
70,7,7,false
71,-,-,false
72,",",false
73,ˢ,ˢ,false
74,̊,̊,false
75,ꝯ,ꝯ,false
76,⁊,⁊,false
77,ł,ł,false
78,⟦,⟦,false
79,c,c,false
80,n,n,false
81,h,h,false
82,ꝙ,ꝙ,false
83,¬,-,false
84,q,q,false
85,b,b,false
86,z,z,false
87,̇,̇,false
88,a,a,false
89,6,6,false
90,ͭ,ͭ,false
91,P,P,false
92,v,v,false
93,ⁿ,ⁿ,false
94,ͬ,ͬ,false
95,ͥ,ͥ,false
96,j,j,false
97,O,O,false
98,ͤ,ͤ,false
99,E,E,false
100,÷,÷,false
101,:,:,false
102,,,false
103,ͫ,ͫ,false
104,ᵗ,ᵗ,false
105,Q,Q,false
106,H,H,false
107,d,d,false
108,/,/,false
109,ˡ,ˡ,false
110,᷑,᷑,false
111,o,o,false
112,e,e,false
113,̽,̽,false
114,̀,̀,false
115,f,f,false
116,L,L,false
